
Anime name	Latest	Status		
91 Days (Sub)	Completed	 Unwatched	 Remove	 Folder
Ao no Exorcist (Dub)	Completed	 Unwatched	 Remove	 Folder
Ao no Exorcist (Sub)	Completed	 Unwatched	 Remove	 Folder
Attack on Titan (Sub) (1080p)	Completed	 Unwatched	 Remove	 Folder
Baccano! (Sub)	Completed	 Unwatched	 Remove	 Folder
Claymore (Dub)	Completed	 Unwatched	 Remove	 Folder
Cowboy Bebop (Dub)	Completed	 Unwatched	 Remove	 Folder
Darling in the FranXX (Sub)	Episode 015	 Unwatched	 Remove	 Folder
Ergo Proxy (Sub)	Completed	 Unwatched	 Remove	 Folder
FLCL (Dub)	Completed	 Unwatched	 Remove	 Folder
Ghost Stories (Sub)	Completed	 Unwatched	 Remove	 Folder
Guilty Crown (Dub)	Completed	 Unwatched	 Remove	 Folder
Hai to Gensou no Grimgar (Dub)	Completed	 Watched	 Remove	 Folder
Higashi no Eden (Sub)	Completed	 Unwatched	 Remove	 Folder
JoJo's Bizarre Adventure (2000) (Dub)	Completed	 Unwatched	 Remove	 Folder
Kaiji	Completed	 Unwatched	 Remove	 Folder
Kimi no Na wa. (Sub)	Completed	 Unwatched	 Remove	 Folder
Koi to Uso	Completed	 Unwatched	 Remove	 Folder
Log Horizon (Dub)	Completed	 Unwatched	 Remove	 Folder
Monster (Dub)	Completed	 Unwatched	 Remove	 Folder
My Hero Academia (Dub)	Completed	 Unwatched	 Remove	 Folder
Nichijou	Completed	 Unwatched	 Remove	 Folder
Owarimonogatari	Completed	 Unwatched	 Remove	 Folder
Sagrada Reset	Completed	 Unwatched	 Remove	 Folder
Shinsekai Yori (Sub)	Completed	 Unwatched	 Remove	 Folder
Tokyo Ghoul 3 (Dub)	Episode 004	 Unwatched	 Remove	 Folder
Ajin (Dub)	Completed	 Watched	 Remove	 Folder
Akagi	Completed	 Watched	 Remove	 Folder
Akame ga Kill! (Dub)	Completed	 Watched	 Remove	 Folder
Aldnoah.Zero (Dub)	Completed	 Watched	 Remove	 Folder
Ansatsu Kyoushitsu	Completed	 Watched	 Remove	 Folder
Boku dake ga Inai Machi (Sub)	Completed	 Watched	 Remove	 Folder
Chihayafuru (Dub)	Completed	 Watched	 Remove	 Folder
Chihayafuru (Sub)	Completed	 Watched	 Remove	 Folder
Citrus (Sub)	Completed	 Watched	 Remove	 Folder
Code Geass: Lelouch of the Rebellion (Dub)	Completed	 Watched	 Remove	 Folder
Death Note (Dub)	Completed	 Watched	 Remove	 Folder
Death Parade (Dub)	Completed	 Watched	 Remove	 Folder
Food Wars! The First Plate (Sub)	Completed	 Watched	 Remove	 Folder
Fullmetal Alchemist: Brotherhood (Dub)	Completed	 Watched	 Remove	 Folder
Gakusen Toshi Asterisk (Dub)	Completed	 Watched	 Remove	 Folder
Kakegurui (Sub)	Completed	 Watched	 Remove	 Folder
Kiseijuu: Sei no Kakuritsu (Dub)	Completed	 Watched	 Remove	 Folder
Kono Subarashii Sekai ni Shukufuku wo!	Completed	 Watched	 Remove	 Folder
Mirai Nikki (TV) (Dub)	Completed	 Watched	 Remove	 Folder
Mob Psycho 100 (Sub)	Completed	 Watched	 Remove	 Folder
Naruto (Dub)	Completed	 Watched	 Remove	 Folder
No Game No Life (Dub)	Completed	 Watched	 Remove	 Folder
Noragami (Dub)	Completed	 Watched	 Remove	 Folder
One Outs	Completed	 Watched	 Remove	 Folder
One Punch Man (Dub)	Completed	 Watched	 Remove	 Folder
Psycho-Pass (Dub)	Completed	 Watched	 Remove	 Folder
Re:Zero kara Hajimeru Isekai Seikatsu	Completed	 Watched	 Remove	 Folder
Shigatsu wa Kimi no Uso (Dub)	Completed	 Watched	 Remove	 Folder
Soul Eater (Dub)	Completed	 Watched	 Remove	 Folder
Steins;Gate (Dub)	Completed	 Watched	 Remove	 Folder
Sword Art Online (Dub)	Completed	 Watched	 Remove	 Folder
Tokyo Ghoul (Dub)	Completed	 Watched	 Remove	 Folder
Toradora! (Dub)	Completed	 Watched	 Remove	 Folder
Violet Evergarden (Dub)	Completed	 Watched	 Remove	 Folder
Zankyou no Terror (Dub)	Completed	 Watched	 Remove	 Folder
Zankyou no Terror (Sub)	Completed	 Watched	 Remove	 Folder
